User ID: 1 | Joke ID: 1 | Content: I accidentally took my cats meds last night. Donât ask meow.
User ID: 1 | Joke ID: 400 | Content: Did you hear about the cheese who saved the world? It was Legend-dairy!
User ID: 1 | Joke ID: 401 | Content: Somebody stole my Microsoft Office and they're going to pay - you have my Word.
User ID: 1 | Joke ID: 403 | Content: Did you hear about the submarine industry? It really took a dive...
User ID: 1 | Joke ID: 404 | Content: I was just looking at my ceiling. Not sure if itâs the best ceiling in the world, but itâs definitely up there.
User ID: 1 | Joke ID: 405 | Content: How does a scientist freshen their breath? With experi-mints!
User ID: 1 | Joke ID: 406 | Content: I just broke my guitar. It's okay, I won't fret
User ID: 1 | Joke ID: 409 | Content: Why does it take longer to get from 1st to 2nd base, than it does to get from 2nd to 3rd base? Because thereâs a Shortstop in between!
User ID: 1 | Joke ID: 410 | Content: Why did the burglar hang his mugshot on the wall? To prove that he was framed!
User ID: 1 | Joke ID: 411 | Content: We all know where the Big Apple is but does anyone know where the Minneapolis?
User ID: 1 | Joke ID: 413 | Content: Bought a new jacket suit the other day and it burst into flames. Well, it was a blazer
User ID: 1 | Joke ID: 416 | Content: What's the difference between roast beef and pea soup. Anyone can roast beef, but nobody can pee soup.
User ID: 1 | Joke ID: 417 | Content: What did the pirate say on his 80th birthday? Aye Matey!
User ID: 1 | Joke ID: 419 | Content: I cut my finger cutting cheese. I know it may be a cheesy story but I feel grate now.
User ID: 1 | Joke ID: 420 | Content: Never take advice from electrons. They are always negative.
User ID: 1 | Joke ID: 421 | Content: Did you know the first French fries weren't actually cooked in France? They were cooked in Greece.
User ID: 1 | Joke ID: 422 | Content: Have you ever seen fruit preserves being made? It's jarring.
User ID: 1 | Joke ID: 423 | Content: It's only a murder of crows if there's probable caws.
User ID: 1 | Joke ID: 424 | Content: Wife told me to take the spider out instead of killing it... We had some drinks, cool guy, wants to be a web developer.
User ID: 1 | Joke ID: 425 | Content: Hear about the new restaurant called Karma? Thereâs no menu: You get what you deserve.
User ID: 1 | Joke ID: 426 | Content: Have you heard of the band 1023MB? They haven't got a gig yet.
User ID: 1 | Joke ID: 427 | Content: Where does astronauts hangout after work? At the spacebar.
User ID: 1 | Joke ID: 429 | Content: What's the difference between a poorly dressed man on a tricycle and a well dressed man on a bicycle? Attire.
User ID: 1 | Joke ID: 431 | Content: My boss told me that he was going to fire the person with the worst posture. I have a hunch, it might be me.
User ID: 1 | Joke ID: 433 | Content: Where do fish keep their money? In the riverbank
User ID: 1 | Joke ID: 434 | Content: I'm practicing for a bug-eating contest and I've got butterflies in my stomach.
User ID: 1 | Joke ID: 435 | Content: Today, my son asked "Can I have a book mark?" and I burst into tears. 11 years old and he still doesn't know my name is Brian.
User ID: 1 | Joke ID: 436 | Content: Why was Pavlov's beard so soft?  Because he conditioned it.
User ID: 1 | Joke ID: 437 | Content: How do the trees get on the internet? They log on.
User ID: 1 | Joke ID: 438 | Content: A woman is on trial for beating her husband to death with his guitar collection. Judge says, âFirst offender?â She says, âNo, first a Gibson! Then a Fender!â
User ID: 1 | Joke ID: 439 | Content: Why couldn't the lifeguard save the hippie? He was too far out, man.
User ID: 1 | Joke ID: 440 | Content: I broke my finger at work today, on the other hand I'm completely fine.
User ID: 1 | Joke ID: 441 | Content: I was shocked when I was diagnosed as colorblind... It came out of the purple.
User ID: 1 | Joke ID: 443 | Content: I saw my husband trip and fall while carrying a laundry basket full of ironed clothes. I watched it all unfold.
User ID: 1 | Joke ID: 444 | Content: Where was the Declaration of Independence signed?

At the bottom! 
User ID: 1 | Joke ID: 445 | Content: I gave all my dead batteries away today, free of charge.
User ID: 1 | Joke ID: 449 | Content: Don't buy flowers at a monastery. Because only you can prevent florist friars.
User ID: 1 | Joke ID: 450 | Content: What do you call a crowd of chess players bragging about their wins in a hotel lobby? Chess nuts boasting in an open foyer.
User ID: 1 | Joke ID: 452 | Content: Why do choirs keep buckets handy? So they can carry their tune
User ID: 1 | Joke ID: 454 | Content: How does a penguin build itâs house? Igloos it together.
User ID: 1 | Joke ID: 473 | Content: Why do pumpkins sit on peopleâs porches?

They have no hands to knock on the door.
User ID: 1 | Joke ID: 476 | Content: What do you call a bee that lives in America? A USB.
User ID: 1 | Joke ID: 478 | Content: What did the late tomato say to the early tomato? Iâll ketch up
User ID: 1 | Joke ID: 482 | Content: What did the digital clock say to the grandfather clock? Look, no hands!
User ID: 1 | Joke ID: 483 | Content: "Dad, I'm cold."
"Go stand in the corner, I hear it's 90 degrees."
User ID: 1 | Joke ID: 484 | Content: Don't trust atoms. They make up everything.
User ID: 1 | Joke ID: 486 | Content: So, I heard this pun about cows, but itâs kinda offensive so I wonât say it. I donât want there to be any beef between us. 
User ID: 1 | Joke ID: 487 | Content: Did you hear about the chameleon who couldn't change color? They had a reptile dysfunction.
User ID: 1 | Joke ID: 488 | Content: Why did the coffee file a police report? It got mugged.
User ID: 1 | Joke ID: 491 | Content: Sgt.: Commissar! Commissar! The troops are revolting! Commissar: Well, youâre pretty repulsive yourself.
User ID: 1 | Joke ID: 492 | Content: Have you heard about the film "Constipation", you probably haven't because it's not out yet.
User ID: 1 | Joke ID: 493 | Content: How do hens stay fit? They always egg-cercise!
User ID: 1 | Joke ID: 495 | Content: What did the judge say to the dentist? Do you swear to pull the tooth, the whole tooth and nothing but the tooth?
User ID: 1 | Joke ID: 496 | Content: What do you call a boy who stopped digging holes? Douglas.
User ID: 1 | Joke ID: 500 | Content: What happens when you anger a brain surgeon? They will give you a piece of your mind.
User ID: 1 | Joke ID: 501 | Content: A doll was recently found dead in a rice paddy. It's the only known instance of a nick nack paddy wack.
User ID: 1 | Joke ID: 502 | Content: How many apples grow on a tree? All of them!
User ID: 1 | Joke ID: 503 | Content: Past, present, and future walked into a bar.... It was tense.
User ID: 1 | Joke ID: 504 | Content: How do you know if thereâs an elephant under your bed? Your head hits the ceiling!
User ID: 1 | Joke ID: 505 | Content: When people are sad, I sometimes let them colour in my tattoos. Sometimes all they need is a shoulder to crayon.
User ID: 1 | Joke ID: 507 | Content: Why do crabs never give to charity? Because theyâre shellfish.
User ID: 1 | Joke ID: 509 | Content: I tried to milk a cow today, but was unsuccessful. Udder failure.
User ID: 1 | Joke ID: 510 | Content: What do you call a dictionary on drugs? High definition.
User ID: 1 | Joke ID: 511 | Content: Why was Santa's little helper feeling depressed? Because he has low elf esteem.

User ID: 1 | Joke ID: 512 | Content: How do you get two whales in a car? Start in England and drive West.
User ID: 1 | Joke ID: 513 | Content: Two dyslexics walk into a bra.
User ID: 1 | Joke ID: 514 | Content: How come a man driving a train got struck by lightning? He was a good conductor.
User ID: 1 | Joke ID: 515 | Content: What did the shy pebble wish for? That she was a little boulder.
User ID: 1 | Joke ID: 516 | Content: To be Frank, I'd have to change my name.
User ID: 1 | Joke ID: 517 | Content: Why did the man run around his bed? Because he was trying to catch up on his sleep!
User ID: 1 | Joke ID: 518 | Content: Have you heard about the owl sanctuary job opening? Itâs all night shifts but theyâre all a hoot over there.
User ID: 1 | Joke ID: 520 | Content: What did the piece of bread say to the knife? Butter me up.
User ID: 1 | Joke ID: 522 | Content: A termite walks into a bar and asks âIs the bar tender here?â
User ID: 1 | Joke ID: 523 | Content: A magician was driving down the street and then he turned into a driveway.
User ID: 1 | Joke ID: 524 | Content: Did you hear about the runner who was criticized? He just took it in stride
User ID: 1 | Joke ID: 525 | Content: I burned 2000 calories today, I left my food in the oven for too long.
User ID: 1 | Joke ID: 526 | Content: What do you get when you cross a rabbit with a water hose? Hare spray.
User ID: 1 | Joke ID: 527 | Content: I went to the store to pick up eight cans of sprite... when I got home I realized I'd only picked seven up
User ID: 1 | Joke ID: 528 | Content: Did you hear about the scientist who was lab partners with a pot of boiling water? He had a very esteemed colleague.
User ID: 1 | Joke ID: 529 | Content: Why did the fireman wear red, white, and blue suspenders? To hold his pants up.
User ID: 1 | Joke ID: 531 | Content: What do you call a dad that has fallen through the ice? A Popsicle.
User ID: 1 | Joke ID: 532 | Content: Iâm reading a book on the history of glue â canât put it down.
User ID: 1 | Joke ID: 533 | Content: My cat was just sick on the carpet, I donât think itâs feline well.
User ID: 1 | Joke ID: 534 | Content: Where do owls go to buy their baby clothes? The owlet malls.
User ID: 1 | Joke ID: 536 | Content: What do you call a nervous javelin thrower? Shakespeare.
User ID: 1 | Joke ID: 537 | Content: Someone asked me to name two structures that hold water. I said "Well dam"
User ID: 1 | Joke ID: 538 | Content: I've started telling everyone about the benefits of eating dried grapes. It's all about raisin awareness.
User ID: 1 | Joke ID: 539 | Content: What do you call an alligator in a vest? An in-vest-igator!
User ID: 1 | Joke ID: 540 | Content: I decided to sell my Hooverâ¦ well it was just collecting dust.
User ID: 1 | Joke ID: 541 | Content: I was fired from the keyboard factory yesterday.  I wasn't putting in enough shifts.
User ID: 1 | Joke ID: 543 | Content: What do you call a girl between two posts? Annette.
User ID: 1 | Joke ID: 544 | Content: A beekeeper was indicted after he confessed to years of stealing at work. They charged him with emBEEzlement
User ID: 1 | Joke ID: 545 | Content: What did the hat say to the scarf?
You can hang around. I'll just go on ahead.

User ID: 1 | Joke ID: 547 | Content: Yesterday a clown held a door open for me. I thought it was a nice jester.
User ID: 1 | Joke ID: 550 | Content: Why was the picture sent to prison? It was framed.
User ID: 1 | Joke ID: 552 | Content: Every night at 11:11, I make a wish that someone will come fix my broken clock.
User ID: 1 | Joke ID: 553 | Content: What do you do on a remote island? Try and find the TV island it belongs to.
User ID: 1 | Joke ID: 554 | Content: As I suspected, someone has been adding soil to my garden. The plot thickens.
User ID: 1 | Joke ID: 555 | Content: Waking up this morning was an eye-opening experience.
User ID: 1 | Joke ID: 556 | Content: I used to think I was indecisive, but now I'm not sure.
User ID: 1 | Joke ID: 557 | Content: Want to hear my pizza joke? Never mind, it's too cheesy.
User ID: 1 | Joke ID: 558 | Content: Whats a penguins favorite relative? Aunt Arctica.
User ID: 1 | Joke ID: 559 | Content: Itâs hard to explain puns to kleptomaniacs, because they take everything literally.
User ID: 1 | Joke ID: 560 | Content: Why was it called the dark ages? Because of all the knights. 
User ID: 1 | Joke ID: 561 | Content: Did you hear about the cow who jumped over the barbed wire fence? It was udder destruction.
User ID: 1 | Joke ID: 562 | Content: I don't trust stairs. They're always up to something.
User ID: 1 | Joke ID: 563 | Content: Why are snake races so exciting? They're always neck and neck.
User ID: 1 | Joke ID: 564 | Content: What are the strongest days of the week? Saturday and Sunday...the rest are weekdays.
User ID: 1 | Joke ID: 565 | Content: What did Romans use to cut pizza before the rolling cutter was invented? Lil Caesars
User ID: 1 | Joke ID: 566 | Content: What do you call an elephant that doesnât matter? An irrelephant.
User ID: 1 | Joke ID: 569 | Content: What do birds give out on Halloween? Tweets.
User ID: 1 | Joke ID: 570 | Content: Parallel lines have so much in common. Itâs a shame theyâll never meet.
User ID: 1 | Joke ID: 571 | Content: How do you tell the difference between a crocodile and an alligator? You will see one later and one in a while.
User ID: 1 | Joke ID: 572 | Content: Why did the man put his money in the freezer? He wanted cold hard cash!
User ID: 1 | Joke ID: 573 | Content: Ben & Jerry's really need to improve their operation. The only way to get there is down a rocky road.
User ID: 1 | Joke ID: 574 | Content: Today a girl said she recognized me from vegetarian club, but Iâm sure Iâve never met herbivore.
User ID: 1 | Joke ID: 575 | Content: Two fish are in a tank, one turns to the other and says, "how do you drive this thing?"
User ID: 1 | Joke ID: 577 | Content: I remember when I was a kid, I opened my fridge and noticed one of my vegetables were crying. I guess I have some emotional cabbage.
User ID: 1 | Joke ID: 578 | Content: What do you call an old snowman? Water.
User ID: 1 | Joke ID: 582 | Content: No matter how kind you are, German children are kinder.
User ID: 1 | Joke ID: 584 | Content: Is there a hole in your shoe? Noâ¦ Then howâd you get your foot in it?
User ID: 1 | Joke ID: 586 | Content: How many kids with ADD does it take to change a lightbulb? Let's go ride bikes!
User ID: 1 | Joke ID: 587 | Content: What do you call a snake who builds houses? A boa constructor!
User ID: 1 | Joke ID: 590 | Content: Did you hear that the police have a warrant out on a midget psychic ripping people off? It reads âSmall medium at large.â
User ID: 1 | Joke ID: 593 | Content: Who did the wizard marry? His ghoul-friend
User ID: 1 | Joke ID: 594 | Content: Have you heard the rumor going around about butter? Never mind, I shouldn't spread it.
User ID: 1 | Joke ID: 596 | Content: Why are fish so smart? Because they live in schools!
User ID: 1 | Joke ID: 597 | Content: I'm tired of following my dreams. I'm just going to ask them where they are going and meet up with them later.
User ID: 1 | Joke ID: 598 | Content: I tried taking some high resolution photos of local farmland, but they all turned out a bit grainy.
User ID: 1 | Joke ID: 599 | Content: I hate perforated lines, they're tearable.
User ID: 1 | Joke ID: 600 | Content: Do I enjoy making courthouse puns? Guilty
User ID: 1 | Joke ID: 601 | Content: Why can't you use "Beef stew" as a password? Because it's not stroganoff.
User ID: 1 | Joke ID: 603 | Content: What is a witch's favorite subject in school? Spelling!
User ID: 1 | Joke ID: 605 | Content: Did you hear about the guy whose whole left side was cut off? He's all right now.
User ID: 1 | Joke ID: 606 | Content: What do you call someone with no nose? Nobody knows.
User ID: 1 | Joke ID: 607 | Content: My boss told me to attach two pieces of wood together... I totally nailed it!
User ID: 1 | Joke ID: 608 | Content: What did the Dorito farmer say to the other Dorito farmer? Cool Ranch!
User ID: 1 | Joke ID: 609 | Content: I couldn't figure out how the seat belt worked. Then it just clicked.
User ID: 1 | Joke ID: 610 | Content: Without geometry life is pointless.
User ID: 1 | Joke ID: 612 | Content: What kind of music do planets listen to? Nep-tunes.
User ID: 1 | Joke ID: 613 | Content: What is a vampire's favorite fruit? A blood orange.
User ID: 1 | Joke ID: 614 | Content: Just watched a documentary about beaversâ¦ It was the best damn program Iâve ever seen.
User ID: 1 | Joke ID: 615 | Content: What do you call a beehive without the b's? An eehive.
User ID: 1 | Joke ID: 616 | Content: I was wondering why the frisbee was getting bigger, then it hit me.
User ID: 1 | Joke ID: 617 | Content: I'll tell you what often gets over looked... garden fences.
User ID: 1 | Joke ID: 618 | Content: I just wrote a book on reverse psychology. Do not read it!
User ID: 1 | Joke ID: 619 | Content: Why do mathematicians hate the U.S.? Because it's indivisible.
User ID: 1 | Joke ID: 620 | Content: How do you make holy water? You boil the hell out of it.
User ID: 1 | Joke ID: 622 | Content: Why do fish live in salt water? Because pepper makes them sneeze!
User ID: 1 | Joke ID: 623 | Content: My friend said to me: "What rhymes with orange" I said: "no it doesn't"
User ID: 1 | Joke ID: 624 | Content: I made a belt out of watches once... It was a waist of time.
User ID: 1 | Joke ID: 625 | Content: I think circles are pointless.
User ID: 1 | Joke ID: 626 | Content: What's the difference between a guitar and a fish? You can tune a guitar but you can't "tuna" fish!
User ID: 1 | Joke ID: 628 | Content: What is worse then finding a worm in your Apple? Finding half a worm in your Apple.
User ID: 1 | Joke ID: 631 | Content: Can February march? No, but April may.
